brand,total,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
Invest South Africa (InvestSA):,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Investec Bank Limited:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Investec Bank South Africa,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
It is crucial to consult with qualified and registered tax professionals or attorneys in South Africa for advice tailored to your specific situation regarding tax obligations and potential exemptions.,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Judin Combrinck Inc,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jurgen's Immigration Services:,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jurgens & Partners,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KGRN Co.:,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KIA Immigration,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
KLM Immigration,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
KPG:,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KPMG Restructuring,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KPMG South Africa (Restructuring Services):,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KPMG South Africa Immigration (,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KPMG Tax and Legal,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KZN Visa & Permit Specialists:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kelly,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly South Africa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kena Media:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kenaope Business Solutions:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kesh Group:,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Khonology,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Korn Ferry,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kreston S.A. (Kreston SA):,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LEMASA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LRC (Legal Resources Centre),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LWO Employers Organisation,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Lawtons Africa (Insolvency, Business Rescue & Restructuring):",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lawtons Africa:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lawyers for Human Rights (LHR):,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Leapfrog Global Migration:,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Learn Abroad,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal&Tax,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Legalese,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Letter of Good Standing:,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberty Life,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Licence Assist,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liquidation Centre,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Liquidation Services,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Love Volunteers:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
M visa (Migration Visa) Consulting,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAJ Consulting:,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MDH Accountants,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MDH Accounting Services,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MDR Corporate Services,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MDR Tax Consultants,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MGI Bass Gordon,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MRA (Management Research Association),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mantis Business Rescue,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Maphanga Holdings,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mardale,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Marwick & Company,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Matzikama Accounting,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mazars Tax Consulting,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MedCore Licensing,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MediSwitch,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical Innovations,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Medicare Health,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Medinox,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Medipost Pharmacy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medirite Pharmacy,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Medispace,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medsol,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MerSETA:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Merchantec Capital,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mercury FX,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Meredith Harington,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Meredith Harington Tax Specialists,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Migrate Immigration,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Migrate SA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Migrate South Africa,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Migrate With B,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Migrate to SA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Migration Expert South Africa,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Migration Services (Pty) Ltd:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mindcor Business Solutions,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mindmuzik Media,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mindworx Assessment Centre,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Momentum Investments:,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Moore Tax South Africa:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Moore:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Move Up (Pty) Ltd:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Move Up (South African Immigration Services):,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Move Up (UK Immigration & Visas),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Move Up Immigration & Relocation:,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Move Up Immigration Solutions:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Move Up Immigration and Visa Services:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MoveUp:,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Multinet,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
My Immigration,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
My South Africa Visa,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
My Therapy Room:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mzansi Communications,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mzansi Study Abroad,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mzanzi Tenders:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NFB Private Wealth Management,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NFB Wealth Management:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NMG Consultants and Actuaries,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
National Treasury of South Africa (,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nedbank Limited:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nedbank Wealth,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Neurodiversity Centre:,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Newtons Immigration:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Niven & Associates,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OCTO,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OIS International:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Octagon Financial Services,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Octagon Legal,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Octagon Professional Services,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Octagon Tax Solutions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Old Mutual Limited:,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Omni HR Consulting,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
One World Volunteers,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OptiFin,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Outsourced CFO,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ovex,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PMGY:,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PWC South Africa Tax Services,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Passport Power,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Passport and Visa Specialists (PAVS):,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Paths Global Immigration,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Paths Immigration,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pathways to Africa,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pathways to Australia,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pathways to Freedom,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pathways to South Africa,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Paymaster,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Permits & Visas,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pharma Solutions SA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Philip Gamble & Partners,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pro Tax Accounting,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pro-edge Solutions,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ProBono.Org,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Proactive Tax Solutions,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Provisional Health,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PsySSA (Psychological Society of South Africa),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PsychMatters Family Centre:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychometric Assessment,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Psychometric Testing,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Psytech SA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Psytech South Africa,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pty Company Registration,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PwC South Africa (Business Restructuring Services):,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Quest Staffing Solutions,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Quintessence Consulting,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Quirk,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIA (Relocation International Associates),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rand Merchant Bank (RMB),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randburg Immigration,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Regan van Rooy,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Regulated Migration,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Relocate Global:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Relocation South Africa,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Remata,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Remedia Tax and Business Services,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Remedia Tax and Business Solutions,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Remneris,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Remuneration Consultants,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Renata G. Burden Immigration Consultancy,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Resolve Tax Debt,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Revix:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SA Emigration,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SA Study,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SA Tax Help,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SA Tax Practice,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SA Tax Professionals,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SA Tax Solutions,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SA Tax Specialists:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SA Tender Assist:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SA Tenders:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SAB&T,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SAFCOIN,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SARS Contact Centre:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SARS Debt Advisory,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SARS Debt Help:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SARS Legal,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SARS MobiApp:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SARS Registered Tax Practitioners,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SARS Tax Attorneys,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SARS Tax Debt Relief,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SARS Tax Support,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SAvisa,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SAvisas.com,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SBC Attorneys,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SBS Forex,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SCA Consultants:,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SCL Tax Services,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SERR Synergy,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SHL South Africa,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SIZA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SNG Grant Thornton South Africa,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SRI Immigration,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
STB Visas:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
STC,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
STC (Saul Tsotetsi Consultants),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
STC Visa,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
STC Visa Solutions,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SVA Forex,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SVA International:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SW Global,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SW Immigration,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sa Tax Debt Solutions,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sable Trust,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sable Wealth,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Saffasource,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Saffery,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Saffery Trust (South Africa) Pty Ltd,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Saffreys,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sage HR & Payroll,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sage Payroll,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sage South Africa,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sanlam Health,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sanlam Personal Finance:,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Santa Fe Relocation South Africa:,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SarsFiling,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SarsTaxDebt.co.za,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SarsTaxFiling.co.za,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Scoinify,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sebata Group:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Shepstone & Wylie:,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SimpleTax,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SimplyTax,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sincere Immigration,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sivervest Migration,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Siyanda Accountants & Advisors,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SizweNtsalubaGobodo,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Skills Development Agency,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Skills Dynamics:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sloane & Co. Immigration Attorneys,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Smit & Van Wyk Attorneys,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Smit & Van Wyk Immigration Attorneys:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
South Africa Visa Services,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
South African Embassy,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
South African Immigration Solutions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
South African Passport Renewal,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
South African Tax Department (SADT),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
South African Visa Applications,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
South African Visa Center,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
South African Visa Experts,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
South African Visas,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Southern African Tax Institute,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Southern Star Immigration,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SovTech,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sovereign Group,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sovereign Trust (SA) Ltd,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sovereign Trust South Africa,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sovereign Wealth,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Specialised Applications,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Specialised Applications (Pty) Ltd,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Specialized Engineering Solutions,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Specialized Exhibitions,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Specialized Solar Systems,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Spoor & Fisher,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Standard Bank Wealth and Investment:,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Status Global,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Status Migration,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Status Solutions,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Status Update,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Stellenbosch University Business School,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Stratasat,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Study Abroad Agency,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Study Abroad South Africa,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Study Visa South Africa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
StudyTrust:,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sure Travel,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Suren Forex,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SwiftReg,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sygnia Asset Management:,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Synthesis Software Technologies,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TFP Tax & Forensic Practitioners,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TFS Holdings,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TFS Holdings (Pty) Ltd,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TIKKUN Immigration Services,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TMT Crypto Solutions,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TSS (Training & Support Solutions),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Talent Africa,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tara Hospital:,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tax Advisors and Practitioners (TAP),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Attorney,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Consulting SA (Pty) Ltd:,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Advice,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tax Debt Advisory,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tax Debt Busters,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Company,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Compliance (Pty) Ltd,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Compliance (TDC),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Compromise,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Fix,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Gone,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Help SA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tax Debt Insure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Lawyers,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Management (Pty) Ltd:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt One,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Relief SA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Rescue:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tax Debt Solutions South Africa,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tax Debt Solved,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Specialists SA:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Specialists:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Wizards,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Emigration,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Emigration South Africa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Faculty,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tax Genius,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tax Guru South Africa,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Indaba,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Law Home,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Law Solutions,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Lawyers South Africa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Matrix,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tax Migration,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Relief Experts,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Resolve,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tax Samaritan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tax Shark,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Shop Accountants,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tax Shop Consulting,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Solutions,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Solutions SA:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Solutions South Africa,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tax Specialists,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Timber,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Tax exemption is a highly complex legal matter that depends on individual circumstances and specific provisions of tax law. Providing a list of companies for this purpose would constitute giving financial and legal advice, which I am not equipped to do.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax-Rite,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TaxCare,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
